Secuential,Parallel
0.03409385681152344,0.5590915679931641
0.015735626220703125,0.2422332763671875
0.015020370483398438,0.21004676818847656
0.014066696166992188,0.22101402282714844
0.013828277587890625,0.21004676818847656
0.0152587890625,0.20313262939453125
0.015020370483398438,0.2968311309814453
0.015974044799804688,0.2181529998779297
0.0152587890625,0.2238750457763672
0.0152587890625,0.2040863037109375
0.015020370483398438,0.24890899658203125
0.015020370483398438,0.20813941955566406
0.015020370483398438,0.19884109497070312
0.015020370483398438,0.20074844360351562
0.015020370483398438,0.20623207092285156
0.0152587890625,0.2040863037109375
0.013828277587890625,0.1838207244873047
0.01430511474609375,0.18906593322753906
0.014781951904296875,0.2701282501220703
0.007867813110351562,0.24318695068359375
0.007867813110351562,0.13208389282226562
0.008106231689453125,0.13303756713867188
0.008821487426757812,0.1327991485595703
0.007152557373046875,0.11610984802246094
0.008106231689453125,0.12493133544921875
0.007152557373046875,0.11324882507324219
0.007867813110351562,0.1251697540283203
0.0069141387939453125,0.11086463928222656
0.0069141387939453125,0.10609626770019531
0.0069141387939453125,0.10704994201660156
